HomeownershipRate,UnemploymentRate,Housing_Supply_Demand_Ratio,VacantHousingUnits_1,TotalShipmentsofNewHomes,MedianListingPriceperSquareFeet,Affordability_Level
68.5,4.7,0.00528673835125448,1856.0,135.0,63.12578543995707,Expensive
68.7,4.7,0.005609973285841496,1871.0,126.0,63.482666027073016,Expensive
68.7,4.6,0.00570902394106814,1871.0,122.0,63.84156423270369,Expensive
68.7,4.6,0.005865921787709497,1871.0,116.0,64.20249146342209,Expensive
69.0,4.7,0.0075647668393782385,1873.0,110.0,64.5654591902881,Expensive
69.0,4.7,0.006473429951690822,1873.0,108.0,64.93047894921304,Expensive
69.0,4.5,0.006594488188976378,1873.0,102.0,65.29756234132633,Expensive
68.9,4.4,0.007757704569606801,1920.0,98.0,65.66672103334416,Expensive
68.9,4.5,0.006580259222333001,1920.0,97.0,66.03796675794032,Expensive
68.9,4.4,0.006513026052104208,1920.0,97.0,66.41131131411909,Expensive
68.4,4.6,0.00808080808080808,1997.0,97.0,66.7867665675902,Expensive
68.4,4.5,0.009541062801932367,1997.0,97.0,67.16434445114602,Expensive
68.4,4.4,0.009483793517406964,1997.0,98.0,67.54405696504071,Expensive
68.2,4.5,0.00834272829763247,2044.0,98.0,67.92591617737169,Expensive
68.2,4.4,0.009263657957244655,2044.0,97.0,68.30993422446318,Expensive
68.2,4.6,0.010340479192938208,2044.0,98.0,68.69612331125191,Expensive
68.2,4.7,0.010668380462724936,1987.0,96.0,69.084495711675,Expensive
68.2,4.6,0.013161659513590843,1987.0,94.0,69.47506376906009,Expensive
68.2,4.7,0.013411078717201165,1987.0,93.0,69.8678398965176,Expensive
67.8,4.7,0.011691884456671253,2023.0,94.0,70.26283657733528,Expensive
67.8,4.7,0.014664586583463339,2023.0,93.0,70.66006636537495,Expensive
67.8,5.0,0.015508885298869143,2023.0,92.0,71.05954188547145,Expensive
67.8,5.0,0.014832535885167464,2060.0,95.0,71.46127583383394,Expensive
67.8,4.9,0.016357504215851602,2060.0,99.0,71.86528097844938,Expensive
