fold,accuracy_rf,accuracy_xgb
1,0.9696969696969697,0.9696969696969697
2,0.9848484848484849,0.9848484848484849
3,0.9848484848484849,0.9848484848484849
4,0.9692307692307692,1.0
5,0.9846153846153847,0.9384615384615385
