feature,importance
MedianListingPriceperSquareFeet,0.3847764920974845
TotalShipmentsofNewHomes,0.18900871140223466
HomeownershipRate,0.18210614647710371
UnemploymentRate,0.11042019335799644
VacantHousingUnits_1,0.08030001860753556
